assay,n_rep,monosome_fitness,monosome_rate,revert_rate,n_gen
a1000,36,0.001,1e-07,1e-07,25
a1001,36,0.001,1e-07,4.641588833612782e-07,25
a1002,36,0.001,1e-07,2.1544346900318822e-06,25
a1003,36,0.001,1e-07,9.999999999999999e-06,25
a1004,36,0.001,1e-07,4.641588833612772e-05,25
a1005,36,0.001,1e-07,0.00021544346900318823,25
a1006,36,0.001,1e-07,0.001,25
a1007,36,0.001,1e-07,0.004641588833612773,25
a1008,36,0.001,1e-07,0.021544346900318822,25
a1009,36,0.001,1e-07,0.1,25
a1010,36,0.001,2.1544346900318822e-07,1e-07,25
a1011,36,0.001,2.1544346900318822e-07,4.641588833612782e-07,25
a1012,36,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25
a1013,36,0.001,2.1544346900318822e-07,9.999999999999999e-06,25
a1014,36,0.001,2.1544346900318822e-07,4.641588833612772e-05,25
a1015,36,0.001,2.1544346900318822e-07,0.00021544346900318823,25
a1016,36,0.001,2.1544346900318822e-07,0.001,25
a1017,36,0.001,2.1544346900318822e-07,0.004641588833612773,25
a1018,36,0.001,2.1544346900318822e-07,0.021544346900318822,25
a1019,36,0.001,2.1544346900318822e-07,0.1,25
a1020,36,0.001,4.641588833612782e-07,1e-07,25
a1021,36,0.001,4.641588833612782e-07,4.641588833612782e-07,25
a1022,36,0.001,4.641588833612782e-07,2.1544346900318822e-06,25
a1023,36,0.001,4.641588833612782e-07,9.999999999999999e-06,25
a1024,36,0.001,4.641588833612782e-07,4.641588833612772e-05,25
a1025,36,0.001,4.641588833612782e-07,0.00021544346900318823,25
a1026,36,0.001,4.641588833612782e-07,0.001,25
a1027,36,0.001,4.641588833612782e-07,0.004641588833612773,25
a1028,36,0.001,4.641588833612782e-07,0.021544346900318822,25
a1029,36,0.001,4.641588833612782e-07,0.1,25
a1030,36,0.001,1e-06,1e-07,25
a1031,36,0.001,1e-06,4.641588833612782e-07,25
a1032,36,0.001,1e-06,2.1544346900318822e-06,25
a1033,36,0.001,1e-06,9.999999999999999e-06,25
a1034,36,0.001,1e-06,4.641588833612772e-05,25
a1035,36,0.001,1e-06,0.00021544346900318823,25
a1036,36,0.001,1e-06,0.001,25
a1037,36,0.001,1e-06,0.004641588833612773,25
a1038,36,0.001,1e-06,0.021544346900318822,25
a1039,36,0.001,1e-06,0.1,25
a1040,36,0.001,2.1544346900318822e-06,1e-07,24
a1041,36,0.001,2.1544346900318822e-06,4.641588833612782e-07,24
a1042,36,0.001,2.1544346900318822e-06,2.1544346900318822e-06,24
a1043,36,0.001,2.1544346900318822e-06,9.999999999999999e-06,24
a1044,36,0.001,2.1544346900318822e-06,4.641588833612772e-05,24
a1045,36,0.001,2.1544346900318822e-06,0.00021544346900318823,24
a1046,36,0.001,2.1544346900318822e-06,0.001,24
