assay,rep,monosome_fitness,monosome_rate,revert_rate,n_gen,pop_id
a1000,0,0.001,1e-07,1e-07,25,p36000
a1000,1,0.001,1e-07,1e-07,25,p36001
a1000,2,0.001,1e-07,1e-07,25,p36002
a1000,3,0.001,1e-07,1e-07,25,p36003
a1000,4,0.001,1e-07,1e-07,25,p36004
a1000,5,0.001,1e-07,1e-07,25,p36005
a1000,6,0.001,1e-07,1e-07,25,p36006
a1000,7,0.001,1e-07,1e-07,25,p36007
a1000,8,0.001,1e-07,1e-07,25,p36008
a1000,9,0.001,1e-07,1e-07,25,p36009
a1000,10,0.001,1e-07,1e-07,25,p36010
a1000,11,0.001,1e-07,1e-07,25,p36011
a1000,12,0.001,1e-07,1e-07,25,p36012
a1000,13,0.001,1e-07,1e-07,25,p36013
a1000,14,0.001,1e-07,1e-07,25,p36014
a1000,15,0.001,1e-07,1e-07,25,p36015
a1000,16,0.001,1e-07,1e-07,25,p36016
a1000,17,0.001,1e-07,1e-07,25,p36017
a1000,18,0.001,1e-07,1e-07,25,p36018
a1000,19,0.001,1e-07,1e-07,25,p36019
a1000,20,0.001,1e-07,1e-07,25,p36020
a1000,21,0.001,1e-07,1e-07,25,p36021
a1000,22,0.001,1e-07,1e-07,25,p36022
a1000,23,0.001,1e-07,1e-07,25,p36023
a1000,24,0.001,1e-07,1e-07,25,p36024
a1000,25,0.001,1e-07,1e-07,25,p36025
a1000,26,0.001,1e-07,1e-07,25,p36026
a1000,27,0.001,1e-07,1e-07,25,p36027
a1000,28,0.001,1e-07,1e-07,25,p36028
a1000,29,0.001,1e-07,1e-07,25,p36029
a1000,30,0.001,1e-07,1e-07,25,p36030
a1000,31,0.001,1e-07,1e-07,25,p36031
a1000,32,0.001,1e-07,1e-07,25,p36032
a1000,33,0.001,1e-07,1e-07,25,p36033
a1000,34,0.001,1e-07,1e-07,25,p36034
a1000,35,0.001,1e-07,1e-07,25,p36035
a1001,0,0.001,1e-07,4.641588833612782e-07,25,p36036
a1001,1,0.001,1e-07,4.641588833612782e-07,25,p36037
a1001,2,0.001,1e-07,4.641588833612782e-07,25,p36038
a1001,3,0.001,1e-07,4.641588833612782e-07,25,p36039
a1001,4,0.001,1e-07,4.641588833612782e-07,25,p36040
a1001,5,0.001,1e-07,4.641588833612782e-07,25,p36041
a1001,6,0.001,1e-07,4.641588833612782e-07,25,p36042
a1001,7,0.001,1e-07,4.641588833612782e-07,25,p36043
a1001,8,0.001,1e-07,4.641588833612782e-07,25,p36044
a1001,9,0.001,1e-07,4.641588833612782e-07,25,p36045
a1001,10,0.001,1e-07,4.641588833612782e-07,25,p36046
a1001,11,0.001,1e-07,4.641588833612782e-07,25,p36047
a1001,12,0.001,1e-07,4.641588833612782e-07,25,p36048
a1001,13,0.001,1e-07,4.641588833612782e-07,25,p36049
a1001,14,0.001,1e-07,4.641588833612782e-07,25,p36050
a1001,15,0.001,1e-07,4.641588833612782e-07,25,p36051
a1001,16,0.001,1e-07,4.641588833612782e-07,25,p36052
a1001,17,0.001,1e-07,4.641588833612782e-07,25,p36053
a1001,18,0.001,1e-07,4.641588833612782e-07,25,p36054
a1001,19,0.001,1e-07,4.641588833612782e-07,25,p36055
a1001,20,0.001,1e-07,4.641588833612782e-07,25,p36056
a1001,21,0.001,1e-07,4.641588833612782e-07,25,p36057
a1001,22,0.001,1e-07,4.641588833612782e-07,25,p36058
a1001,23,0.001,1e-07,4.641588833612782e-07,25,p36059
a1001,24,0.001,1e-07,4.641588833612782e-07,25,p36060
a1001,25,0.001,1e-07,4.641588833612782e-07,25,p36061
a1001,26,0.001,1e-07,4.641588833612782e-07,25,p36062
a1001,27,0.001,1e-07,4.641588833612782e-07,25,p36063
a1001,28,0.001,1e-07,4.641588833612782e-07,25,p36064
a1001,29,0.001,1e-07,4.641588833612782e-07,25,p36065
a1001,30,0.001,1e-07,4.641588833612782e-07,25,p36066
a1001,31,0.001,1e-07,4.641588833612782e-07,25,p36067
a1001,32,0.001,1e-07,4.641588833612782e-07,25,p36068
a1001,33,0.001,1e-07,4.641588833612782e-07,25,p36069
a1001,34,0.001,1e-07,4.641588833612782e-07,25,p36070
a1001,35,0.001,1e-07,4.641588833612782e-07,25,p36071
a1002,0,0.001,1e-07,2.1544346900318822e-06,25,p36072
a1002,1,0.001,1e-07,2.1544346900318822e-06,25,p36073
