assay,n_rep,w_mono,mu_A,mu_R,target_div
a0,50,1.0,1e-07,1e-07,16777216
a1,50,1.0,1e-07,1e-06,16777216
a2,50,1.0,1e-07,9.999999999999999e-06,16777216
a3,50,1.0,1e-07,0.0001,16777216
a4,50,1.0,1e-07,0.001,16777216
a5,50,1.0,1e-07,0.01,16777216
a6,50,1.0,1e-07,0.1,16777216
a7,50,1.0,3.162277660168379e-07,1e-07,16777216
a8,50,1.0,3.162277660168379e-07,1e-06,16777216
a9,50,1.0,3.162277660168379e-07,9.999999999999999e-06,16777216
a10,50,1.0,3.162277660168379e-07,0.0001,16777216
a11,50,1.0,3.162277660168379e-07,0.001,16777216
a12,50,1.0,3.162277660168379e-07,0.01,16777216
a13,50,1.0,3.162277660168379e-07,0.1,16777216
a14,50,1.0,1e-06,1e-07,16777216
a15,50,1.0,1e-06,1e-06,16777216
a16,50,1.0,1e-06,9.999999999999999e-06,16777216
a17,50,1.0,1e-06,0.0001,16777216
a18,50,1.0,1e-06,0.001,16777216
a19,50,1.0,1e-06,0.01,16777216
a20,50,1.0,1e-06,0.1,16777216
a21,50,1.0,3.162277660168379e-06,1e-07,6324555
a22,50,1.0,3.162277660168379e-06,1e-06,6324555
a23,50,1.0,3.162277660168379e-06,9.999999999999999e-06,6324555
a24,50,1.0,3.162277660168379e-06,0.0001,6324555
a25,50,1.0,3.162277660168379e-06,0.001,6324555
a26,50,1.0,3.162277660168379e-06,0.01,6324555
a27,50,1.0,3.162277660168379e-06,0.1,6324555
a28,50,1.0,9.999999999999999e-06,1e-07,2000000
a29,50,1.0,9.999999999999999e-06,1e-06,2000000
a30,50,1.0,9.999999999999999e-06,9.999999999999999e-06,2000000
a31,50,1.0,9.999999999999999e-06,0.0001,2000000
a32,50,1.0,9.999999999999999e-06,0.001,2000000
a33,50,1.0,9.999999999999999e-06,0.01,2000000
a34,50,1.0,9.999999999999999e-06,0.1,2000000
a35,50,1.0,3.1622776601683795e-05,1e-07,632455
a36,50,1.0,3.1622776601683795e-05,1e-06,632455
a37,50,1.0,3.1622776601683795e-05,9.999999999999999e-06,632455
a38,50,1.0,3.1622776601683795e-05,0.0001,632455
a39,50,1.0,3.1622776601683795e-05,0.001,632455
a40,50,1.0,3.1622776601683795e-05,0.01,632455
a41,50,1.0,3.1622776601683795e-05,0.1,632455
a42,50,1.0,0.0001,1e-07,200000
a43,50,1.0,0.0001,1e-06,200000
a44,50,1.0,0.0001,9.999999999999999e-06,200000
a45,50,1.0,0.0001,0.0001,200000
a46,50,1.0,0.0001,0.001,200000
