assay,chrom,n_rep,w_mono,w_triso,mu_A,mu_R,mu_T,target_div
a0,1,50,1.0,1,2.86e-06,1e-07,0,2110000.0
a1,1,50,0.599484250318941,1,2.86e-06,1e-07,0,2110000.0
a2,1,50,0.35938136638046275,1,2.86e-06,1e-07,0,2110000.0
a3,1,50,0.2154434690031884,1,2.86e-06,1e-07,0,2110000.0
a4,1,50,0.1291549665014884,1,2.86e-06,1e-07,0,2110000.0
a5,1,50,0.0774263682681127,1,2.86e-06,1e-07,0,2110000.0
a6,1,50,0.046415888336127795,1,2.86e-06,1e-07,0,2110000.0
a7,1,50,0.027825594022071257,1,2.86e-06,1e-07,0,2110000.0
a8,1,50,0.016681005372000592,1,2.86e-06,1e-07,0,2110000.0
a9,1,50,0.01,1,2.86e-06,1e-07,0,2110000.0
a10,1,50,1.0,1,2.86e-06,4.641588833612782e-07,0,2110000.0
a11,1,50,0.599484250318941,1,2.86e-06,4.641588833612782e-07,0,2110000.0
a12,1,50,0.35938136638046275,1,2.86e-06,4.641588833612782e-07,0,2110000.0
a13,1,50,0.2154434690031884,1,2.86e-06,4.641588833612782e-07,0,2110000.0
a14,1,50,0.1291549665014884,1,2.86e-06,4.641588833612782e-07,0,2110000.0
a15,1,50,0.0774263682681127,1,2.86e-06,4.641588833612782e-07,0,2110000.0
a16,1,50,0.046415888336127795,1,2.86e-06,4.641588833612782e-07,0,2110000.0
a17,1,50,0.027825594022071257,1,2.86e-06,4.641588833612782e-07,0,2110000.0
a18,1,50,0.016681005372000592,1,2.86e-06,4.641588833612782e-07,0,2110000.0
a19,1,50,0.01,1,2.86e-06,4.641588833612782e-07,0,2110000.0
a20,1,50,1.0,1,2.86e-06,2.1544346900318822e-06,0,2110000.0
a21,1,50,0.599484250318941,1,2.86e-06,2.1544346900318822e-06,0,2110000.0
a22,1,50,0.35938136638046275,1,2.86e-06,2.1544346900318822e-06,0,2110000.0
a23,1,50,0.2154434690031884,1,2.86e-06,2.1544346900318822e-06,0,2110000.0
