assay,w_mono,mu_A,mu_R,target_div,pop_id
a0,1.0,1e-07,1e-07,16777216,p0
a0,1.0,1e-07,1e-07,16777216,p1
a0,1.0,1e-07,1e-07,16777216,p2
a0,1.0,1e-07,1e-07,16777216,p3
a0,1.0,1e-07,1e-07,16777216,p4
a0,1.0,1e-07,1e-07,16777216,p5
a0,1.0,1e-07,1e-07,16777216,p6
a0,1.0,1e-07,1e-07,16777216,p7
a0,1.0,1e-07,1e-07,16777216,p8
a0,1.0,1e-07,1e-07,16777216,p9
a0,1.0,1e-07,1e-07,16777216,p10
a0,1.0,1e-07,1e-07,16777216,p11
a0,1.0,1e-07,1e-07,16777216,p12
a0,1.0,1e-07,1e-07,16777216,p13
a0,1.0,1e-07,1e-07,16777216,p14
a0,1.0,1e-07,1e-07,16777216,p15
a0,1.0,1e-07,1e-07,16777216,p16
a0,1.0,1e-07,1e-07,16777216,p17
a0,1.0,1e-07,1e-07,16777216,p18
a0,1.0,1e-07,1e-07,16777216,p19
a0,1.0,1e-07,1e-07,16777216,p20
a0,1.0,1e-07,1e-07,16777216,p21
a0,1.0,1e-07,1e-07,16777216,p22
a0,1.0,1e-07,1e-07,16777216,p23
a0,1.0,1e-07,1e-07,16777216,p24
a0,1.0,1e-07,1e-07,16777216,p25
a0,1.0,1e-07,1e-07,16777216,p26
a0,1.0,1e-07,1e-07,16777216,p27
a0,1.0,1e-07,1e-07,16777216,p28
a0,1.0,1e-07,1e-07,16777216,p29
a0,1.0,1e-07,1e-07,16777216,p30
a0,1.0,1e-07,1e-07,16777216,p31
a0,1.0,1e-07,1e-07,16777216,p32
a0,1.0,1e-07,1e-07,16777216,p33
a0,1.0,1e-07,1e-07,16777216,p34
a0,1.0,1e-07,1e-07,16777216,p35
a0,1.0,1e-07,1e-07,16777216,p36
a0,1.0,1e-07,1e-07,16777216,p37
a0,1.0,1e-07,1e-07,16777216,p38
a0,1.0,1e-07,1e-07,16777216,p39
a0,1.0,1e-07,1e-07,16777216,p40
a0,1.0,1e-07,1e-07,16777216,p41
a0,1.0,1e-07,1e-07,16777216,p42
a0,1.0,1e-07,1e-07,16777216,p43
a0,1.0,1e-07,1e-07,16777216,p44
a0,1.0,1e-07,1e-07,16777216,p45
a0,1.0,1e-07,1e-07,16777216,p46
a0,1.0,1e-07,1e-07,16777216,p47
a0,1.0,1e-07,1e-07,16777216,p48
a0,1.0,1e-07,1e-07,16777216,p49
a1,1.0,1e-07,1e-06,16777216,p50
a1,1.0,1e-07,1e-06,16777216,p51
a1,1.0,1e-07,1e-06,16777216,p52
a1,1.0,1e-07,1e-06,16777216,p53
a1,1.0,1e-07,1e-06,16777216,p54
a1,1.0,1e-07,1e-06,16777216,p55
a1,1.0,1e-07,1e-06,16777216,p56
a1,1.0,1e-07,1e-06,16777216,p57
a1,1.0,1e-07,1e-06,16777216,p58
a1,1.0,1e-07,1e-06,16777216,p59
a1,1.0,1e-07,1e-06,16777216,p60
a1,1.0,1e-07,1e-06,16777216,p61
a1,1.0,1e-07,1e-06,16777216,p62
a1,1.0,1e-07,1e-06,16777216,p63
a1,1.0,1e-07,1e-06,16777216,p64
a1,1.0,1e-07,1e-06,16777216,p65
a1,1.0,1e-07,1e-06,16777216,p66
a1,1.0,1e-07,1e-06,16777216,p67
a1,1.0,1e-07,1e-06,16777216,p68
a1,1.0,1e-07,1e-06,16777216,p69
a1,1.0,1e-07,1e-06,16777216,p70
a1,1.0,1e-07,1e-06,16777216,p71
a1,1.0,1e-07,1e-06,16777216,p72
a1,1.0,1e-07,1e-06,16777216,p73
a1,1.0,1e-07,1e-06,16777216,p74
a1,1.0,1e-07,1e-06,16777216,p75
a1,1.0,1e-07,1e-06,16777216,p76
