assay,chrom,w_mono,w_triso,mu_A,mu_R,mu_T,target_div,pop_id
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p0
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p1
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p2
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p3
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p4
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p5
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p6
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p7
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p8
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p9
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p10
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p11
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p12
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p13
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p14
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p15
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p16
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p17
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p18
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p19
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p20
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p21
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p22
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p23
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p24
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p25
